Tweet-Text,Tweet-Lang,Tweet-country,sentiment_type,sentiment_score,sentiment_result_code,sentiment_result_msg
RT @_XMMX_X: Best movie ever ...Fast and Furious 7 #FastFurious7 @justinmurk it got us fucked up in all levels of emotions  #RIPPaulWal,en,,positive,0.12963806033333,200,Success
Paul Walker  #FastFurious7,en,,neutral,0,469,Sentiment not found
Can't wait to see all these beautiful cars that are gonna be in #FastFurious7 ,en,,positive,0.1633160854,200,Success
#Paul Walker #FastFurious7 http://t.co/YF6Eho7B3S,en,United States,neutral,0,469,Sentiment not found
"That was definitely a good movie, but sad ending. Rest In Heaven Paul Walker  #FastFurious7",en,,positive,0.2119061285,200,Success
#dwaynejohnson on #jimmykimmel yeah ! #hobbs #furious7 #fastandfurious7 #fastfurious7 #fast7 #fastandfurious http://t.co/iy5wLWwpBy,en,,positive,0.137689844,200,Success
"#FastFurious7 m'aura quasiment foutu les larmes, trs bel hommage pour Paul Walker ! #EnvieDeLeRevoir",fr,,negative,-0.071533022,200,Success
"The way I cried, you would've thought I lost a brother..lol! #FastFurious7 I would definitely go see it again",en,,negative,-0.1294098085,200,Success
RT @JellTml:  . T^T #PaulWalker #FastFurious7 http://t.co/1,th,,neutral,0,469,Sentiment not found
RT @JalenKolodynski: Finished the way they started! #ForPaul #FastFurious7 http://t.co/T5YCQjUkUQ,en,,neutral,0.0108890965,200,Success
RT @JalenKolodynski: Finished the way they started! #ForPaul #FastFurious7 http://t.co/T5YCQjUkUQ,en,,neutral,0.0108890965,200,Success
"RT @pimkaiearng:     
 #FastFurious7  #Fast7 http://t.co/qy5S7F8dOW",th,,neutral,0,469,Sentiment not found
